genre,game_count,avg_sales_per_game,median_sales_per_game,top10_percent,genre_hhi,norm_hhi,attractiveness_score
shooter,398,1.76,0.41,34.37,0.0166,0.3704,0.2573
action,1262,0.89,0.17,16.24,0.0066,0.0000,0.1642
sports,639,1.27,0.27,31.57,0.0193,0.4700,0.1519
role-playing,784,0.66,0.17,24.99,0.0104,0.1401,0.1422
misc,932,0.60,0.14,26.75,0.0117,0.1884,0.1113
racing,286,1.06,0.28,35.04,0.0252,0.6859,0.1059
simulation,503,0.44,0.13,26.99,0.0135,0.2543,0.0965
fighting,272,0.70,0.15,36.85,0.0220,0.5678,0.0712
puzzle,317,0.29,0.10,32.37,0.0166,0.3692,0.0640
strategy,329,0.23,0.07,29.29,0.0149,0.3066,0.0487
platform,198,1.43,0.36,44.85,0.0337,1.0000,0.0420
adventure,813,0.18,0.04,25.49,0.0134,0.2529,0.0299
