genre,year,market_share,genre_z_score
action,2006,12.78,-1.7719
action,2007,17.46,-1.0246
action,2008,20.09,-0.6054
action,2009,20.88,-0.4791
action,2010,19.58,-0.6872
action,2011,24.64,0.1201
action,2012,29.09,0.8308
action,2013,34.02,1.6171
action,2014,29.38,0.8769
action,2015,26.74,0.4552
action,2016,28.07,0.6681
adventure,2006,2.20,-0.6335
adventure,2007,4.01,1.6989
adventure,2008,3.69,1.2779
adventure,2009,3.10,0.5222
adventure,2010,2.76,0.0827
adventure,2011,3.02,0.4164
adventure,2012,1.67,-1.3156
adventure,2013,1.80,-1.1561
adventure,2014,1.80,-1.1532
adventure,2015,3.04,0.4424
adventure,2016,2.55,-0.1821
fighting,2006,4.33,0.4300
fighting,2007,2.89,-0.7337
fighting,2008,5.21,1.1433
fighting,2009,4.82,0.8251
fighting,2010,2.48,-1.0644
fighting,2011,4.28,0.3922
fighting,2012,2.62,-0.9536
fighting,2013,1.96,-1.4838
fighting,2014,4.79,0.8045
fighting,2015,2.94,-0.6894
fighting,2016,5.44,1.3299
misc,2006,12.93,0.7294
misc,2007,14.93,1.1651
misc,2008,12.82,0.7060
misc,2009,11.53,0.4254
misc,2010,16.12,1.4235
misc,2011,10.60,0.2238
misc,2012,6.30,-0.7109
misc,2013,6.97,-0.5661
misc,2014,7.03,-0.5536
misc,2015,4.42,-1.1201
misc,2016,1.65,-1.7226
platform,2006,9.56,2.0962
platform,2007,5.84,0.3059
platform,2008,5.26,0.0284
platform,2009,6.16,0.4604
platform,2010,5.31,0.0525
platform,2011,5.31,0.0514
platform,2012,5.10,-0.0473
platform,2013,6.82,0.7815
platform,2014,2.64,-1.2319
platform,2015,2.29,-1.4001
platform,2016,2.92,-1.0969
puzzle,2006,2.09,0.4093
puzzle,2007,3.93,1.8434
puzzle,2008,2.30,0.5728
puzzle,2009,3.04,1.1494
puzzle,2010,1.86,0.2291
puzzle,2011,0.96,-0.4680
puzzle,2012,0.48,-0.8420
puzzle,2013,0.27,-1.0093
puzzle,2014,0.45,-0.8722
puzzle,2015,0.26,-1.0126
racing,2006,6.54,0.5206
racing,2007,6.42,0.4672
racing,2008,10.41,2.2327
racing,2009,5.12,-0.1084
racing,2010,5.87,0.2237
racing,2011,6.90,0.6777
racing,2012,3.98,-0.6164
racing,2013,3.54,-0.8085
racing,2014,4.95,-0.1842
racing,2015,3.00,-1.0510
racing,2016,2.31,-1.3536
role-playing,2006,11.08,0.1342
role-playing,2007,7.20,-1.4872
role-playing,2008,8.81,-0.8124
role-playing,2009,7.18,-1.4952
role-playing,2010,11.73,0.4078
role-playing,2011,10.07,-0.2856
role-playing,2012,13.15,0.9971
role-playing,2013,12.20,0.6032
role-playing,2014,13.61,1.1891
role-playing,2015,13.78,1.2616
role-playing,2016,9.53,-0.5126
shooter,2006,7.36,-1.3854
shooter,2007,11.65,-0.7073
shooter,2008,8.77,-1.1636
shooter,2009,10.47,-0.8935
shooter,2010,12.88,-0.5119
shooter,2011,18.76,0.4180
shooter,2012,20.03,0.6206
shooter,2013,17.06,0.1496
shooter,2014,19.58,0.5489
shooter,2015,25.02,1.4091
shooter,2016,25.69,1.5155
simulation,2006,4.18,0.1971
simulation,2007,8.03,1.9187
simulation,2008,6.89,1.4083
simulation,2009,5.05,0.5873
simulation,2010,3.69,-0.0230
simulation,2011,2.88,-0.3814
simulation,2012,3.72,-0.0088
simulation,2013,2.36,-0.6179
simulation,2014,1.65,-0.9347
simulation,2015,2.13,-0.7207
simulation,2016,0.55,-1.4250
sports,2006,26.13,2.1612
sports,2007,16.10,-0.0101
sports,2008,14.04,-0.4555
sports,2009,20.75,0.9972
sports,2010,15.41,-0.1593
sports,2011,10.81,-1.1558
sports,2012,12.95,-0.6928
sports,2013,11.29,-1.0518
sports,2014,13.84,-0.4985
sports,2015,15.71,-0.0949
sports,2016,20.58,0.9603
strategy,2006,0.82,-0.7599
strategy,2007,1.54,0.3649
strategy,2008,1.72,0.6400
strategy,2009,1.90,0.9163
strategy,2010,2.32,1.5626
strategy,2011,1.78,0.7274
strategy,2012,0.92,-0.6108
strategy,2013,1.72,0.6366
strategy,2014,0.29,-1.5758
strategy,2015,0.69,-0.9636
strategy,2016,0.70,-0.9378
