platform_name,year,release_share
3ds,2011,16.4557
3ds,2012,18.7879
3ds,2013,19.3206
3ds,2014,13.9823
3ds,2015,14.1680
3ds,2016,10.1744
pc,2006,30.2326
pc,2007,22.8261
pc,2008,21.0526
pc,2009,24.4944
pc,2010,19.8690
pc,2011,20.1125
pc,2012,12.3232
pc,2013,8.0679
pc,2014,7.7876
pc,2015,8.2372
pc,2016,11.0465
ps3,2006,15.6977
ps3,2007,32.6087
ps3,2008,38.5042
ps3,2009,36.6292
ps3,2010,39.9563
ps3,2011,31.2236
ps3,2012,29.8990
ps3,2013,26.9639
ps3,2014,19.1150
ps3,2015,12.1911
ps3,2016,9.3023
ps4,2013,3.3970
ps4,2014,13.2743
ps4,2015,22.5700
ps4,2016,31.1047
psv,2011,2.5316
psv,2012,10.9091
psv,2013,13.3758
psv,2014,18.0531
psv,2015,18.6161
psv,2016,17.4419
wiiu,2012,6.4646
wiiu,2013,8.9172
wiiu,2014,5.4867
wiiu,2015,4.6129
wiiu,2016,2.9070
x360,2006,54.0698
x360,2007,44.5652
x360,2008,40.4432
x360,2009,38.8764
x360,2010,40.1747
x360,2011,29.6765
x360,2012,21.6162
x360,2013,15.9236
x360,2014,11.5044
x360,2015,6.5898
x360,2016,2.3256
xone,2013,4.0340
xone,2014,10.7965
xone,2015,13.0148
xone,2016,15.6977
